IP,Frequency
176.60.52.17,21
37.57.189.63,6
46.39.32.43,2
216.244.66.197,7
193.105.7.171,24
46.39.55.158,28
82.208.101.90,22
95.163.105.175,9
41.1.251.324,1
46.211.153.115,1
95.153.130.141,1
66.102.9.142,273
66.102.9.140,259
95.47.104.11,50
178.219.46.89,25
178.151.154.75,26
107.167.109.148,1
37.214.52.45,1
217.118.93.158,28
31.172.81.33,2
66.102.9.138,239
31.172.81.35,1
93.185.27.250,61
178.158.10.159,24
37.230.213.13,2
217.23.186.194,1
217.69.134.14,4
178.121.51.28,26
5.45.207.6,3
37.9.113.83,1
200.175.104.7,2
95.27.86.23,24
134.249.80.140,1
188.162.245.21,1
5.138.114.125,35
41.38.245.33,2
213.87.132.4,6
176.124.23.81,23
77.221.130.34,43
104.168.170.146,1
95.153.129.26,25
128.72.217.109,24
91.79.166.106,28
91.215.244.5,1
30.0.0.0,20
7.7.18.16,1
87.241.188.118,23
37.190.75.99,1
77.111.246.13,1
62.210.215.100,5
74.125.76.32,5
74.125.76.33,1
5.197.63.123,24
176.213.39.208,24
178.34.148.224,32
2.11.0.33,32
86.20.40.133,1
173.252.124.209,1
109.252.91.187,24
176.105.205.118,20
37.9.113.165,7
37.53.231.147,22
94.178.10.164,19
54.36.148.96,1
193.106.30.99,3
46.246.93.15,24
95.213.218.141,20
9.5.0.449,19
83.223.227.58,23
93.72.216.146,22
136.243.75.15,5
5.164.248.43,26
188.166.83.15,24
107.167.105.70,26
46.158.239.10,24
78.26.130.206,22
159.224.229.61,7
217.69.133.247,1
217.69.133.246,1
137.226.113.28,2
91.231.40.228,21
46.101.74.231,4
137.226.113.27,4
95.153.130.175,25
17.4.3.195,25
85.26.165.217,1
217.69.134.12,6
216.244.66.249,8
66.249.65.80,2
66.249.65.84,1
46.216.154.127,31
91.218.45.25,19
46.216.153.19,25
38.0.0.0,2
176.38.114.94,2
31.135.64.170,22
37.215.63.150,30
83.99.134.24,26
80.151.125.37,39
213.87.144.188,22
92.40.249.0,22
109.63.201.217,14
178.140.207.180,12
46.147.120.18,13
109.63.181.217,16
87.228.18.98,12
165.227.136.203,2
46.254.21.18,1
2.95.82.219,23
66.249.90.117,1
31.181.21.113,11
217.69.134.30,3
196.52.43.91,1
146.185.201.74,2
36.6.119.934,2
188.115.165.173,25
217.69.134.13,6
31.182.57.102,3
207.46.13.72,3
46.211.155.104,21
172.56.29.86,25
83.220.239.17,52
37.18.16.94,2
5.255.230.146,2
108.11.186.136,37
95.163.105.248,2
95.108.213.21,4
91.202.1.109,24
68.180.229.227,6
213.200.59.238,24
5.144.97.34,1
176.118.43.65,24
188.162.229.162,28
137.226.113.26,1
188.146.163.238,24
188.170.198.181,24
176.117.234.8,2
176.48.70.188,23
217.69.134.15,6
193.93.192.228,1
176.116.30.221,1
91.105.138.2,30
148.64.56.70,1
5.8.47.63,2
8.37.233.198,21
11.5.0.101,25
185.23.165.211,4
217.69.134.11,1
74.125.76.34,5
134.249.16.130,24
176.53.236.52,24
5.45.207.59,1
142.0.217.214,35
31.204.102.96,2
188.233.37.156,25
185.13.32.145,1
141.8.132.38,2
91.122.44.131,22
23.88.234.14,15
